ticker,cik,filing_type,date,accession,file_path
AAPL,0000320193,10-Q,2026-05-01,0000320193-26-000013,data/sec_filings/AAPL/10-Q_2026-05-01.htm
AAPL,0000320193,10-Q,2026-01-30,0000320193-26-000006,data/sec_filings/AAPL/10-Q_2026-01-30.htm
AAPL,0000320193,10-K,2025-10-31,0000320193-25-000079,data/sec_filings/AAPL/10-K_2025-10-31.htm
AAPL,0000320193,10-Q,2025-08-01,0000320193-25-000073,data/sec_filings/AAPL/10-Q_2025-08-01.htm
AAPL,0000320193,10-Q,2025-05-02,0000320193-25-000057,data/sec_filings/AAPL/10-Q_2025-05-02.htm
AAPL,0000320193,10-K,2024-11-01,0000320193-24-000123,data/sec_filings/AAPL/10-K_2024-11-01.htm
MSFT,0000789019,10-Q,2026-04-29,0001193125-26-191507,data/sec_filings/MSFT/10-Q_2026-04-29.htm
MSFT,0000789019,10-Q,2026-01-28,0001193125-26-027207,data/sec_filings/MSFT/10-Q_2026-01-28.htm
MSFT,0000789019,10-Q,2025-10-29,0001193125-25-256321,data/sec_filings/MSFT/10-Q_2025-10-29.htm
MSFT,0000789019,10-K,2025-07-30,0000950170-25-100235,data/sec_filings/MSFT/10-K_2025-07-30.htm
MSFT,0000789019,10-Q,2025-04-30,0000950170-25-061046,data/sec_filings/MSFT/10-Q_2025-04-30.htm
MSFT,0000789019,10-K,2024-07-30,0000950170-24-087843,data/sec_filings/MSFT/10-K_2024-07-30.htm
AMZN,0001018724,10-Q,2026-04-30,0001018724-26-000014,data/sec_filings/AMZN/10-Q_2026-04-30.htm
AMZN,0001018724,10-K,2026-02-06,0001018724-26-000004,data/sec_filings/AMZN/10-K_2026-02-06.htm
AMZN,0001018724,10-Q,2025-10-31,0001018724-25-000123,data/sec_filings/AMZN/10-Q_2025-10-31.htm
AMZN,0001018724,10-Q,2025-08-01,0001018724-25-000086,data/sec_filings/AMZN/10-Q_2025-08-01.htm
AMZN,0001018724,10-Q,2025-05-02,0001018724-25-000036,data/sec_filings/AMZN/10-Q_2025-05-02.htm
AMZN,0001018724,10-K,2025-02-07,0001018724-25-000004,data/sec_filings/AMZN/10-K_2025-02-07.htm
GOOGL,0001652044,10-Q,2026-04-30,0001652044-26-000048,data/sec_filings/GOOGL/10-Q_2026-04-30.htm
